iter	RMSE
0	0.2006246398
1	0.1987065934
2	0.1968739453
3	0.195049006
4	0.19331079
5	0.1915996944
6	0.1899182509
7	0.1883530604
8	0.1868521798
9	0.1852600747
10	0.183860272
11	0.1825321011
12	0.1812496985
13	0.1800950062
14	0.1789048974
15	0.1777874162
16	0.1766670828
17	0.1755542016
18	0.1744434405
19	0.1735227369
20	0.1725517631
21	0.1715657985
22	0.1706292639
23	0.169728808
24	0.1688774257
25	0.168078978
26	0.1673491891
27	0.1664953739
28	0.1657717619
29	0.165012968
30	0.1643504025
31	0.1636742372
32	0.1629797662
33	0.1624235055
34	0.1617833753
35	0.1611365253
36	0.1604367904
37	0.1598454164
38	0.1592980042
39	0.1587814444
40	0.1583076835
41	0.1578271781
42	0.1573802666
43	0.1569376284
44	0.1564414064
45	0.1560344327
46	0.1555793333
47	0.1551473996
48	0.1546717177
49	0.15426341
50	0.1538271975
51	0.1534421134
52	0.1530967048
53	0.1527469593
54	0.1524652025
55	0.1520896715
56	0.1517545146
57	0.1513621704
58	0.1509201624
59	0.150559833
60	0.1502081228
61	0.1498762805
62	0.1495518394
63	0.1492396782
64	0.1489736
65	0.1486645821
66	0.14840402
67	0.1480138721
68	0.1477780876
69	0.1474430111
70	0.1471973523
71	0.1469793306
72	0.1467425546
73	0.1465584249
74	0.1463086886
75	0.1460308004
76	0.1457504638
77	0.1454457586
78	0.1452355441
79	0.1449963857
80	0.1447408933
81	0.1444275183
82	0.1440790581
83	0.1439494105
84	0.1437019194
85	0.1434610857
86	0.1432199979
87	0.1431120709
88	0.1429367263
89	0.1427091947
90	0.1425138126
91	0.1423084165
92	0.1420955174
93	0.1419389959
94	0.1417343821
95	0.1415398632
96	0.1413475667
97	0.1411824702
98	0.1410250204
99	0.1408613044
100	0.1406826664
101	0.1405157448
102	0.140283663
103	0.1401604983
104	0.1400078686
105	0.1398205224
106	0.1396193207
107	0.1394891423
108	0.1393093151
109	0.1391471042
110	0.1389643683
111	0.1388781329
112	0.1387533522
113	0.1386769498
