iter	RMSE
0	0.202899469
1	0.2009605608
2	0.1991517765
3	0.1974394306
4	0.195706725
5	0.1941051291
6	0.1924864323
7	0.1909909505
8	0.189512783
9	0.1880705395
10	0.1867507262
11	0.1854650817
12	0.1841789051
13	0.1830261337
14	0.181896013
15	0.1807975105
16	0.1797450528
17	0.1787362458
18	0.1777425796
19	0.1767766135
20	0.1758629302
21	0.1750456739
22	0.1742007648
23	0.1733702353
24	0.1726226683
25	0.1718561
26	0.1711325072
27	0.1704548713
28	0.1697496614
29	0.1691278786
30	0.1684967401
31	0.1678904662
32	0.1673256563
33	0.1668086196
34	0.1662786546
35	0.1657593252
36	0.1652511878
37	0.1647574596
38	0.1642980275
39	0.1638522706
40	0.16343311
41	0.1630062734
42	0.1625924157
43	0.1622476578
44	0.1618666015
45	0.1615102978
46	0.1611613932
47	0.1608233973
48	0.1604919566
49	0.1601778142
50	0.159869786
51	0.1595735272
52	0.1592871797
53	0.1590242058
54	0.1587274847
55	0.1584773199
56	0.1582115988
57	0.1579727083
58	0.1577317398
59	0.1574861169
60	0.1572680291
61	0.1570418657
62	0.1568268229
63	0.1566203164
64	0.1564175285
65	0.1562358702
66	0.156042133
67	0.1558554996
68	0.1556862272
69	0.1554844288
70	0.1553101768
71	0.1551270833
72	0.1549570909
73	0.1548141171
74	0.1546450394
75	0.1544763817
76	0.1543060325
77	0.1541470231
78	0.1539573841
79	0.1538174889
80	0.153674099
81	0.153534643
82	0.1534053338
83	0.1532618559
84	0.1531344618
85	0.1530027284
86	0.1528518494
87	0.1527296195
88	0.1526032025
89	0.1524798276
90	0.1523536653
91	0.1522405028
92	0.1521237681
93	0.152006264
94	0.1518934051
95	0.1517712265
96	0.1516661052
97	0.1515380362
98	0.1514151241
99	0.1513232749
100	0.1512262914
101	0.1511335679
102	0.1510228953
103	0.1509341448
104	0.1508156704
105	0.1507184768
106	0.1506144143
107	0.1505117989
108	0.1504158274
109	0.1503073399
110	0.1501890163
111	0.1500953582
112	0.1500178864
113	0.1499155814
114	0.1498257865
115	0.1497401479
116	0.1496506123
117	0.1495651957
118	0.149485465
119	0.1493979056
120	0.1492986427
121	0.1491935865
122	0.1491138835
123	0.1490418769
124	0.1489596989
125	0.1488697241
126	0.1487523455
127	0.1486729126
128	0.1485787693
129	0.1484884766
130	0.1484355594
131	0.1483799961
132	0.1483158756
133	0.1482475024
134	0.1481682843
135	0.1480870832
136	0.148045635
137	0.1479435104
138	0.1478477171
139	0.1477451503
140	0.1476780054
141	0.1476203271
142	0.1475332959
143	0.1474674849
144	0.1474047521
145	0.1473183864
146	0.1472561698
147	0.1471992129
148	0.1471310522
149	0.1470430738
150	0.1469989759
151	0.1469326148
152	0.1468536853
153	0.1467967579
154	0.1467206014
155	0.1466577929
156	0.1465839809
157	0.1465253942
158	0.1464716603
159	0.146373795
160	0.1463205317
161	0.1462533721
162	0.1462100958
163	0.1461369488
164	0.1460837772
165	0.1460075732
166	0.145930382
167	0.1458717565
168	0.1458172732
169	0.145722719
170	0.1456510319
171	0.1455937715
172	0.1455329283
173	0.1454601538
174	0.1453888222
175	0.1453249308
176	0.1452687069
177	0.1452312901
178	0.1451764731
179	0.1451073336
180	0.1450423612
181	0.1449618292
182	0.1449081739
183	0.144839293
184	0.1447729076
185	0.1447323794
186	0.1446963464
187	0.1446557747
188	0.1446016479
189	0.1445550548
190	0.1445174152
191	0.1444541994
192	0.1444075154
193	0.1443484771
194	0.1443050476
195	0.1442390947
196	0.1441766845
197	0.1441036889
198	0.1440723316
199	0.144038809
200	0.1439790906
201	0.1439509305
202	0.1439053862
203	0.1438470465
204	0.1438000072
205	0.1437603132
206	0.1437163304
207	0.1436652544
208	0.1436030982
209	0.1435561211
210	0.1434911131
211	0.1434439772
212	0.1433836288
213	0.1433360955
214	0.143277287
215	0.1432387779
216	0.1431635703
217	0.1430878876
218	0.1430334874
219	0.1429924348
220	0.1429245228
221	0.142896465
222	0.1428497349
223	0.142803366
224	0.1427339951
225	0.142673303
226	0.142623915
227	0.1425661362
228	0.142499909
229	0.1424643183
230	0.1424216228
231	0.1423703607
232	0.1423272665
233	0.1422659037
234	0.1422046196
235	0.1421460549
236	0.1420809077
237	0.1419954272
238	0.1419552794
239	0.1418920813
240	0.1418439631
241	0.1418151952
242	0.1417889807
243	0.1417466831
244	0.1416975027
245	0.1416284264
246	0.1415843317
247	0.1415278651
248	0.1414523786
249	0.1413942841
250	0.1413615196
251	0.1413289824
252	0.1412769431
253	0.1412151848
254	0.1412060004
255	0.1411528224
256	0.1410837218
257	0.1410459382
258	0.1410110651
259	0.1409724996
260	0.1408811776
261	0.1408092539
262	0.1407644413
263	0.1407241605
264	0.1406502174
265	0.1405999893
266	0.1405695088
267	0.1405382144
268	0.1404882836
269	0.1404523367
270	0.1404224692
271	0.1403880879
272	0.140338168
273	0.1402985615
274	0.1402626946
275	0.1402076679
276	0.1401518055
277	0.1400864045
278	0.1400520526
279	0.1399940392
280	0.1399500732
281	0.1398973467
282	0.1398353488
283	0.1397760924
284	0.1397146227
285	0.1396382072
286	0.139591374
287	0.1395420703
288	0.1394867749
289	0.1394169886
290	0.1393600619
291	0.1393045797
292	0.139272848
293	0.1392194278
294	0.1391710236
295	0.1391218145
296	0.1390958962
297	0.1390161967
298	0.1389628386
299	0.1389256773
300	0.1388790827
301	0.138842333
302	0.1388029756
303	0.1387674034
304	0.1387278681
305	0.1386659638
306	0.1386393047
307	0.1386110163
308	0.1385483129
309	0.138485457
310	0.1384286918
311	0.1383932952
312	0.1383574282
313	0.138319645
314	0.1382951518
315	0.1382422823
316	0.1382177071
317	0.138171204
318	0.138112964
319	0.1380776238
320	0.1380400731
321	0.1380236235
322	0.1379973004
323	0.1379551392
324	0.1379051095
325	0.1378510207
326	0.1378243659
327	0.1377688614
328	0.1377236473
329	0.1376876047
330	0.1376624174
331	0.1376120113
332	0.1375665065
333	0.137528456
334	0.1374902515
335	0.1374390474
336	0.1373867553
337	0.1373502229
338	0.1373284122
339	0.1372918508
340	0.1372441975
341	0.137203643
342	0.13715771
343	0.1371358466
344	0.1371147869
345	0.1370622839
346	0.1370106898
347	0.1369722792
348	0.136933143
349	0.1368962438
350	0.1368517082
351	0.1368160978
352	0.1367817492
353	0.1367724299
354	0.136714144
355	0.1366636959
356	0.1366506665
357	0.1365846799
358	0.1365387884
359	0.1365228973
360	0.1364883007
361	0.136443003
362	0.1364031667
363	0.136376701
364	0.1363214825
365	0.1362766357
366	0.1362261277
367	0.1361836632
368	0.1361451631
369	0.1361014459
370	0.1360555538
371	0.1360197218
372	0.1359497414
373	0.1358939495
374	0.135865191
375	0.1358498296
376	0.1358037297
377	0.135754699
378	0.1357081772
379	0.1356620331
380	0.1356313263
381	0.1355781719
382	0.1355663599
383	0.1355573866
384	0.1355267317
385	0.1354949715
386	0.1354581394
387	0.1354302536
388	0.1354034353
389	0.1353532709
390	0.1352987416
391	0.1352614553
392	0.1352402273
393	0.1352006305
394	0.1351647809
395	0.1351297525
396	0.1351041143
397	0.1350749231
398	0.1350352316
399	0.1350027866
400	0.1349500958
401	0.1349003012
402	0.1348637364
403	0.1348214831
404	0.1347656763
405	0.134702399
406	0.134671032
407	0.1346434655
408	0.1346277753
409	0.1346229944
410	0.1345711702
411	0.134538337
412	0.1345013383
413	0.1344655401
414	0.1344337549
415	0.1344138349
416	0.1343613485
417	0.134312669
418	0.1342543908
419	0.1342283675
420	0.134193987
421	0.1341385463
422	0.1341253799
423	0.1340724346
424	0.1340215134
425	0.1339600869
426	0.1339338328
427	0.1338889728
428	0.1338510561
429	0.133817009
430	0.1338028545
431	0.1337377251
432	0.1336991561
433	0.133663077
434	0.1336105514
435	0.1335438912
436	0.1334922644
437	0.1334582766
438	0.133388721
439	0.133356306
440	0.1333098599
441	0.133273331
442	0.1332329078
443	0.1331819691
444	0.1331668087
445	0.1331483718
446	0.1330886255
447	0.1330651741
448	0.1330302173
449	0.1329682072
450	0.1329291691
451	0.1328752003
452	0.1328608234
453	0.1328066622
454	0.1327536536
455	0.1327493209
456	0.132721593
457	0.1326867588
458	0.1326350945
459	0.1326153916
460	0.1325870419
461	0.1325304519
462	0.1324784443
463	0.1324314259
464	0.1324077582
465	0.1323844597
466	0.1323286068
467	0.1322717974
468	0.1322490798
469	0.1321947422
470	0.1321372581
471	0.1320975558
472	0.1320517789
473	0.1320110126
474	0.1319707726
475	0.1319376854
476	0.1319097846
477	0.1318642138
478	0.1318195395
479	0.1317958559
480	0.1317543279
481	0.1317284826
482	0.1316863824
483	0.131648994
484	0.1316105787
485	0.1315789813
486	0.1315683094
487	0.1315309882
488	0.131492425
489	0.1314407184
490	0.1313884237
491	0.1313614468
492	0.131329588
493	0.1313154501
494	0.1312748312
495	0.131239476
496	0.1312062138
497	0.1311744679
498	0.131147885
499	0.1311117265
500	0.1310789981
501	0.1310266773
502	0.1309912977
503	0.1309789871
504	0.1309689642
505	0.1309315644
506	0.1309061801
507	0.1308777551
508	0.1308368254
509	0.1308001168
510	0.1307643256
511	0.1307365719
512	0.1306889278
513	0.1306406001
514	0.1306062685
515	0.1305638733
516	0.1305375188
517	0.1305007957
518	0.1304726916
519	0.1304338065
520	0.1304004841
521	0.1303655924
522	0.1303289089
523	0.1302839084
524	0.1302509304
525	0.1302296098
526	0.1301922399
527	0.1301631246
528	0.130141104
529	0.1301133242
530	0.1301106701
531	0.1300765595
532	0.1300417171
533	0.1300053395
534	0.1299847492
