iter	Passed	Remaining
0	83	83671
1	112	56342
2	138	46178
3	166	41396
4	192	38395
5	216	35827
6	240	34137
7	267	33159
8	297	32745
9	329	32596
10	354	31915
11	382	31487
12	410	31131
13	436	30727
14	463	30467
15	491	30215
16	520	30125
17	551	30069
18	579	29919
19	608	29815
20	635	29634
21	665	29598
22	696	29566
23	725	29483
24	755	29453
25	782	29325
26	810	29223
27	838	29111
28	868	29091
29	896	28972
30	923	28872
31	952	28805
32	980	28719
33	1009	28684
34	1038	28637
35	1069	28635
36	1095	28515
37	1123	28432
38	1150	28359
39	1178	28282
40	1206	28224
41	1234	28165
42	1260	28042
43	1287	27976
44	1319	27999
45	1347	27950
46	1375	27890
47	1403	27845
48	1432	27797
49	1458	27717
50	1488	27706
51	1517	27663
52	1545	27613
53	1575	27594
54	1601	27518
55	1627	27432
56	1656	27407
57	1692	27482
58	1727	27559
59	1763	27628
60	1794	27625
61	1837	27793
62	1873	27869
63	1902	27817
64	1931	27788
65	1959	27724
66	1986	27660
67	2017	27646
68	2046	27609
69	2070	27505
70	2099	27473
71	2125	27393
72	2155	27365
73	2188	27379
74	2219	27375
75	2251	27367
76	2282	27360
77	2310	27307
78	2337	27249
79	2363	27180
80	2390	27121
81	2421	27110
82	2449	27059
83	2477	27021
84	2507	26993
85	2535	26944
86	2563	26901
87	2589	26833
88	2615	26776
89	2643	26725
90	2668	26658
91	2695	26604
92	2723	26564
93	2751	26520
94	2777	26462
95	2806	26427
96	2832	26369
97	2860	26324
98	2886	26265
99	2911	26204
100	2938	26158
101	2969	26139
102	2996	26097
103	3028	26090
104	3060	26086
105	3087	26036
106	3116	26013
107	3146	25983
108	3177	25974
109	3205	25936
110	3232	25889
111	3258	25836
112	3284	25780
113	3309	25724
114	3335	25672
115	3365	25648
116	3392	25601
117	3418	25549
118	3445	25509
119	3472	25461
120	3500	25429
121	3524	25364
122	3550	25313
123	3575	25260
124	3602	25219
125	3627	25165
126	3652	25107
127	3679	25067
128	3708	25037
129	3737	25011
130	3762	24960
131	3789	24921
132	3814	24864
133	3840	24818
134	3865	24766
135	3891	24722
136	3919	24692
137	3945	24646
138	3973	24615
139	4008	24622
140	4039	24610
141	4070	24597
142	4112	24645
143	4141	24618
144	4168	24582
145	4194	24537
146	4219	24482
147	4245	24442
148	4274	24411
149	4300	24369
150	4328	24337
151	4356	24304
152	4384	24274
153	4409	24224
154	4438	24199
155	4466	24164
156	4495	24138
157	4520	24092
158	4547	24053
159	4574	24015
160	4600	23976
161	4630	23954
162	4658	23918
163	4685	23882
164	4714	23856
165	4747	23850
166	4772	23806
167	4796	23755
168	4822	23715
169	4850	23682
170	4882	23668
171	4908	23627
172	4935	23592
173	4961	23553
174	4991	23529
175	5015	23480
176	5042	23444
177	5068	23406
178	5095	23371
179	5120	23328
180	5145	23281
181	5171	23241
182	5196	23200
183	5221	23158
184	5246	23113
185	5272	23073
186	5297	23033
187	5324	22996
188	5351	22962
189	5379	22932
190	5405	22896
191	5432	22863
192	5460	22831
193	5486	22794
194	5517	22778
195	5547	22754
196	5573	22716
197	5599	22682
198	5625	22645
199	5654	22619
200	5680	22581
201	5713	22569
202	5739	22533
203	5766	22499
204	5793	22467
205	5818	22428
206	5845	22394
207	5871	22356
208	5900	22333
209	5929	22307
210	5956	22274
211	5988	22259
212	6016	22230
213	6043	22198
214	6072	22173
215	6100	22141
216	6129	22118
217	6157	22087
218	6183	22050
219	6213	22028
220	6239	21991
221	6263	21950
222	6292	21923
223	6320	21895
224	6349	21869
225	6377	21842
226	6411	21833
227	6447	21829
228	6474	21799
229	6500	21762
230	6530	21738
231	6555	21702
232	6582	21667
233	6611	21643
234	6639	21613
235	6666	21580
236	6694	21553
237	6725	21531
238	6752	21501
239	6784	21485
240	6820	21478
241	6852	21462
242	6881	21436
243	6909	21408
244	6940	21387
245	6977	21385
246	7008	21366
247	7034	21329
248	7063	21302
249	7088	21264
250	7119	21245
251	7149	21221
252	7182	21206
253	7213	21186
254	7243	21160
255	7271	21133
256	7298	21101
257	7328	21075
258	7356	21047
259	7385	21021
260	7413	20990
261	7456	21003
262	7506	21033
263	7549	21047
264	7592	21059
265	7625	21040
266	7653	21009
267	7677	20968
268	7707	20945
269	7734	20912
270	7762	20881
271	7791	20853
272	7817	20818
273	7846	20789
274	7876	20764
275	7908	20744
276	7939	20722
277	7970	20700
278	8009	20698
279	8041	20677
280	8071	20652
281	8101	20628
282	8131	20602
283	8162	20578
284	8188	20543
285	8218	20516
286	8246	20485
287	8276	20461
288	8306	20434
289	8337	20412
290	8370	20394
291	8399	20365
292	8429	20340
293	8458	20311
294	8489	20289
295	8517	20258
296	8545	20227
297	8571	20191
298	8601	20165
299	8630	20137
300	8658	20107
301	8689	20083
302	8721	20061
303	8752	20037
304	8778	20004
305	8807	19974
306	8833	19940
307	8860	19907
308	8887	19875
309	8916	19846
310	8943	19812
311	8974	19789
312	9004	19763
313	9034	19737
314	9066	19715
315	9098	19694
316	9130	19672
317	9159	19644
318	9190	19619
319	9223	19600
320	9254	19575
321	9281	19542
322	9310	19514
323	9338	19483
324	9370	19461
325	9397	19430
326	9425	19399
327	9453	19368
328	9481	19337
329	9507	19302
330	9535	19271
331	9561	19238
332	9589	19207
333	9615	19173
334	9643	19143
335	9674	19118
336	9714	19111
337	9741	19078
338	9771	19052
339	9800	19024
340	9828	18993
341	9859	18969
342	9894	18951
343	9923	18924
344	9952	18895
345	9980	18864
346	10006	18830
347	10032	18796
348	10060	18766
349	10092	18742
350	10120	18713
351	10147	18681
352	10175	18649
353	10204	18620
354	10233	18593
355	10269	18576
356	10303	18558
357	10333	18531
358	10364	18506
359	10414	18514
360	10464	18523
361	10501	18508
362	10529	18477
363	10566	18462
364	10599	18439
365	10627	18408
366	10658	18382
367	10687	18355
368	10724	18339
369	10756	18315
370	10786	18287
371	10813	18254
372	10841	18223
373	10867	18189
374	10895	18158
375	10924	18130
376	10957	18107
377	10988	18081
378	11017	18052
379	11047	18025
380	11074	17992
381	11103	17962
382	11131	17932
383	11158	17899
384	11188	17872
385	11215	17839
386	11242	17807
387	11269	17774
388	11297	17744
389	11321	17708
390	11348	17675
391	11383	17655
392	11410	17623
393	11438	17592
394	11466	17562
395	11500	17541
396	11533	17517
397	11564	17491
398	11593	17462
399	11625	17437
400	11657	17413
401	11691	17392
402	11721	17364
403	11753	17339
404	11785	17314
405	11815	17287
406	11845	17258
407	11873	17228
408	11903	17200
409	11933	17172
410	11962	17142
411	11991	17114
412	12026	17093
413	12059	17070
414	12090	17043
415	12120	17014
416	12146	16981
417	12182	16962
418	12236	16967
419	12265	16937
420	12301	16918
421	12329	16886
422	12357	16856
423	12389	16830
424	12421	16804
425	12452	16778
426	12483	16752
427	12510	16719
428	12536	16685
429	12564	16655
430	12590	16621
431	12619	16591
432	12649	16563
433	12677	16533
434	12704	16501
435	12731	16469
436	12766	16447
437	12798	16421
438	12827	16392
439	12854	16360
440	12881	16327
441	12909	16296
442	12937	16266
443	12967	16238
444	13008	16224
445	13039	16196
446	13064	16163
447	13092	16131
448	13121	16102
449	13151	16074
450	13176	16040
451	13204	16009
452	13231	15977
453	13263	15950
454	13293	15923
455	13328	15900
456	13356	15870
457	13384	15839
458	13414	15810
459	13445	15784
460	13475	15755
461	13506	15728
462	13535	15698
463	13562	15667
464	13591	15638
465	13618	15605
466	13647	15575
467	13683	15555
468	13712	15525
469	13743	15497
470	13771	15467
471	13800	15437
472	13829	15407
473	13901	15426
474	14031	15508
475	14238	15674
476	14279	15656
477	14307	15624
478	14333	15590
479	14361	15557
480	14396	15533
481	14430	15508
482	14555	15580
483	14595	15560
484	14625	15529
485	14655	15499
486	14685	15469
487	14722	15447
488	14752	15416
489	14787	15390
490	14820	15364
491	14853	15336
492	14882	15305
493	14911	15274
494	14942	15244
495	14978	15220
496	15015	15196
497	15047	15167
498	15076	15137
499	15112	15112
500	15143	15083
501	15173	15052
502	15206	15025
503	15237	14996
504	15272	14969
505	15304	14941
506	15344	14920
507	15377	14893
508	15412	14867
509	15443	14837
510	15476	14810
511	15508	14781
512	15543	14755
513	15579	14730
514	15630	14720
515	15670	14698
516	15700	14668
517	15742	14648
518	15773	14618
519	15804	14588
520	15836	14559
521	15867	14530
522	15898	14500
523	15929	14470
524	15962	14442
525	15995	14414
526	16029	14387
527	16058	14355
528	16096	14331
529	16125	14299
530	16161	14274
531	16195	14246
532	16225	14216
533	16258	14188
534	16288	14157
535	16319	14127
536	16350	14097
537	16380	14066
538	16422	14045
539	16470	14030
540	16537	14030
541	16576	14007
542	16608	13978
543	16639	13947
544	16674	13920
545	16704	13889
546	16734	13858
547	16765	13828
548	16794	13796
549	16825	13766
550	16858	13737
551	16888	13706
552	16921	13677
553	16950	13646
554	16980	13614
555	17040	13608
556	17125	13620
557	17167	13598
558	17205	13573
559	17241	13546
560	17272	13516
561	17303	13485
562	17338	13458
563	17370	13428
564	17399	13395
565	17432	13367
566	17465	13337
567	17496	13307
568	17525	13275
569	17557	13244
570	17588	13214
