iter	Passed	Remaining
0	26	26269
1	49	24856
2	75	24938
3	101	25156
4	124	24834
5	150	24862
6	176	25037
7	204	25413
8	232	25586
9	257	25484
10	283	25479
11	308	25388
12	333	25336
13	356	25133
14	381	25031
15	407	25076
16	433	25076
17	463	25308
18	496	25651
19	521	25551
20	546	25469
21	573	25474
22	600	25511
23	626	25473
24	656	25593
25	679	25439
26	703	25369
27	728	25273
28	753	25215
29	779	25204
30	814	25464
31	843	25501
32	871	25540
33	899	25549
34	931	25675
35	957	25635
36	985	25639
37	1012	25625
38	1041	25670
39	1074	25790
40	1100	25752
41	1128	25739
42	1155	25722
43	1182	25681
44	1212	25737
45	1238	25689
46	1264	25643
47	1292	25626
48	1330	25813
49	1354	25737
50	1386	25795
51	1412	25743
52	1443	25794
53	1652	28954
54	1684	28936
55	1708	28806
56	1738	28753
57	1769	28739
58	1799	28705
59	1832	28713
60	1863	28684
61	1896	28687
62	1927	28661
63	1954	28581
64	1981	28504
65	2007	28409
66	2034	28329
67	2063	28286
68	2086	28156
69	2109	28028
70	2133	27910
71	2155	27785
72	2183	27730
73	2207	27626
74	2234	27562
75	2263	27524
76	2289	27438
77	2324	27471
78	2351	27419
79	2377	27341
80	2409	27338
81	2436	27281
82	2462	27206
83	2492	27177
84	2520	27131
85	2547	27077
86	2573	27011
87	2597	26921
88	2622	26841
89	2648	26784
90	2678	26755
91	2706	26709
92	2734	26664
93	2760	26603
94	2786	26548
95	2814	26500
96	2842	26465
97	2870	26416
98	2900	26396
99	2924	26318
100	2951	26272
101	2981	26247
102	3007	26190
103	3032	26123
104	3059	26079
105	3084	26018
106	3112	25978
107	3142	25954
108	3172	25930
109	3206	25940
110	3238	25933
111	3269	25924
112	3302	25925
113	3332	25900
114	3357	25836
115	3389	25828
116	3414	25771
117	3437	25695
118	3464	25645
119	3490	25594
120	3517	25553
121	3545	25517
122	3575	25494
123	3613	25525
124	3640	25484
125	3672	25476
126	3701	25447
127	3731	25422
128	3759	25382
129	3786	25343
130	3816	25319
131	3846	25290
132	3880	25298
133	3910	25271
134	3941	25251
135	3973	25243
136	4003	25217
137	4033	25197
138	4059	25148
139	4087	25110
140	4114	25067
141	4143	25034
142	4169	24985
143	4197	24953
144	4229	24941
145	4259	24914
146	4284	24859
147	4310	24813
148	4337	24773
149	4370	24766
150	4403	24757
151	4438	24759
152	4466	24725
153	4499	24718
154	4530	24699
155	4558	24663
156	4586	24626
157	4613	24584
158	4637	24526
159	4665	24494
160	4689	24440
161	4715	24391
162	4742	24350
163	4766	24298
164	4791	24248
165	4817	24205
166	4844	24164
167	4872	24128
168	4897	24081
169	4930	24074
170	4964	24065
171	4993	24037
172	5026	24029
173	5061	24025
174	5091	24004
175	5124	23990
176	5155	23969
177	5186	23948
178	5214	23915
179	5243	23885
180	5273	23861
181	5302	23831
182	5335	23819
183	5364	23792
184	5392	23756
185	5422	23732
186	5449	23693
187	5476	23654
188	5504	23621
189	5537	23605
190	5568	23584
191	5595	23549
192	5627	23530
193	5652	23485
194	5683	23463
195	5709	23419
196	5735	23377
197	5762	23339
198	5788	23299
199	5816	23265
200	5845	23236
201	5871	23194
202	5897	23154
203	5924	23117
204	5952	23083
205	5979	23048
206	6008	23017
207	6035	22980
208	6063	22947
209	6089	22908
210	6118	22878
211	6147	22849
212	6177	22825
213	6207	22799
214	6237	22774
215	6268	22753
216	6301	22735
217	6330	22710
218	6358	22675
219	6386	22644
220	6413	22606
221	6438	22562
222	6466	22531
223	6492	22491
224	6521	22463
225	6551	22439
226	6585	22426
227	6621	22418
228	6651	22392
229	6684	22378
230	6715	22354
231	6745	22330
232	6780	22320
233	6817	22315
234	6848	22295
235	6880	22275
236	6913	22256
237	6946	22239
238	6978	22220
239	7010	22200
240	7052	22210
241	7084	22188
242	7113	22158
243	7142	22129
244	7171	22100
245	7200	22069
246	7229	22040
247	7255	22000
248	7284	21969
249	7324	21972
250	7358	21957
251	7384	21919
252	7412	21886
253	7440	21851
254	7473	21835
255	7507	21818
256	7537	21790
257	7570	21773
258	7606	21763
259	7638	21741
260	7667	21710
261	7700	21691
262	7745	21704
263	7792	21724
264	7826	21706
265	7854	21673
266	7887	21654
267	7921	21635
268	7967	21651
269	8007	21650
270	8041	21632
271	8077	21619
272	8113	21606
273	8147	21588
274	8187	21585
275	8219	21562
276	8256	21551
277	8287	21524
278	8314	21486
279	8347	21463
280	8545	21865
281	8756	22295
282	8797	22288
283	8826	22252
284	8860	22228
285	8894	22205
286	8926	22177
287	8958	22147
288	9008	22163
289	9049	22154
290	9083	22131
291	9128	22134
292	9156	22094
293	9182	22050
294	9208	22007
295	9235	21964
296	9276	21957
297	9317	21950
298	9358	21940
299	9392	21915
300	9431	21902
301	9466	21878
302	9500	21853
303	9533	21826
304	9565	21796
305	9602	21777
306	9645	21772
307	9685	21760
308	9725	21748
309	9767	21741
310	9809	21731
311	9842	21703
312	9890	21708
313	9929	21693
314	9970	21681
315	10010	21668
316	10052	21658
317	10083	21625
318	10113	21590
319	10142	21552
320	10169	21511
321	10197	21471
322	10229	21441
323	10261	21409
324	10289	21369
325	10326	21350
326	10355	21312
327	10383	21273
328	10412	21236
329	10440	21197
330	10473	21167
331	10500	21128
332	10534	21099
333	10563	21063
334	10592	21026
335	10623	20993
336	10657	20968
337	10689	20935
338	10720	20902
339	10749	20867
340	10776	20825
341	10808	20795
342	10835	20754
343	10867	20724
344	10896	20687
345	10924	20648
346	10953	20612
347	10984	20579
348	11012	20542
349	11041	20505
350	11071	20470
351	11097	20430
352	11127	20394
353	11153	20352
354	11183	20318
355	11211	20281
356	11238	20241
357	11265	20201
358	11291	20161
359	11320	20125
360	11353	20096
361	11379	20055
362	11410	20023
363	11438	19986
364	11469	19953
365	11497	19916
366	11533	19892
367	11564	19860
368	11591	19822
369	11619	19784
370	11648	19748
371	11675	19710
372	11704	19675
373	11734	19640
374	11762	19604
375	11792	19569
