iter	Passed	Remaining
0	124	124113
1	243	121749
2	367	122073
3	503	125478
4	629	125362
5	753	124793
6	892	126638
7	1021	126716
8	1175	129456
9	1318	130502
10	1449	130295
11	1564	128789
12	1687	128105
13	1830	128889
14	1948	127982
15	2068	127201
16	2184	126302
17	2331	127204
18	2451	126580
19	2571	126004
20	2700	125882
21	2825	125622
22	2952	125424
23	3076	125101
24	3188	124338
25	3326	124602
26	3451	124365
27	3581	124327
28	3713	124341
29	3843	124283
30	3976	124289
31	4105	124179
32	4225	123816
33	4339	123284
34	4455	122839
35	4592	122987
36	4709	122583
37	4828	122243
38	4954	122088
39	5068	121636
40	5179	121148
41	5293	120737
42	5401	120217
43	5525	120052
44	5646	119836
45	5765	119573
46	5890	119449
47	6018	119359
48	6138	119139
49	6258	118911
50	6392	118956
51	6510	118686
52	6638	118613
53	6755	118344
54	6870	118039
55	7002	118046
56	7106	117575
57	7221	117285
58	7529	120088
59	7650	119854
60	7765	119544
61	7885	119301
62	7997	118942
63	8097	118422
64	8224	118310
65	8348	118140
66	8468	117927
67	8597	117830
68	8717	117620
69	8829	117311
70	8945	117047
71	9072	116934
72	9182	116609
73	9301	116398
74	9410	116066
75	9525	115808
76	9651	115687
77	9775	115551
78	9887	115274
79	10012	115147
80	10147	115129
81	10267	114951
82	10392	114820
83	10509	114603
84	10625	114378
85	10746	114212
86	10863	114006
87	10983	113831
88	11105	113672
89	11224	113489
90	11335	113225
91	11449	113001
92	11551	112657
93	11662	112410
94	11776	112190
95	11897	112037
96	12010	111807
97	12124	111594
98	12245	111446
99	12364	111281
100	12481	111101
101	12596	110896
102	12730	110870
103	12856	110764
104	12969	110549
105	13089	110397
106	13202	110182
107	13318	110004
108	13432	109797
109	13563	109741
110	13676	109533
111	13800	109418
112	13915	109228
113	14033	109065
114	14152	108913
115	14264	108704
116	14386	108576
117	14505	108419
118	14611	108174
119	14738	108080
120	14869	108021
121	14992	107893
122	15112	107750
123	15227	107575
124	15359	107518
125	15478	107363
126	15608	107291
127	15724	107122
128	15845	106990
129	15961	106821
130	16078	106661
131	16194	106493
132	16315	106357
133	16433	106207
134	16541	105989
135	16663	105859
136	16786	105745
137	16895	105533
138	17016	105406
139	17139	105282
140	17471	106437
141	17592	106296
142	17712	106151
143	17827	105973
144	17947	105826
145	18068	105690
146	18181	105504
147	18291	105298
148	18403	105107
149	18525	104978
150	18649	104859
151	18761	104668
152	18884	104541
153	18999	104374
154	19114	104206
155	19235	104067
156	19350	103901
157	19469	103754
158	19590	103618
159	19720	103532
160	19863	103512
161	19990	103406
162	20109	103263
163	20222	103083
164	20334	102903
165	20449	102742
166	20570	102607
167	20685	102442
168	20794	102247
169	20917	102125
170	21030	101957
171	21156	101845
172	21273	101695
173	21394	101563
174	21519	101450
175	21643	101332
176	21761	101183
177	21879	101040
178	21993	100875
179	22102	100689
180	22216	100526
181	22334	100381
182	22463	100288
183	22581	100143
184	22694	99977
185	22810	99825
186	22942	99742
187	23051	99563
188	23165	99404
189	23284	99264
190	23393	99086
191	23518	98973
192	23636	98831
193	23749	98671
194	23871	98547
195	23992	98419
196	24111	98282
197	24223	98119
198	24340	97973
199	24455	97823
200	24574	97687
201	24693	97550
202	24824	97465
203	24961	97397
204	25090	97303
205	25217	97197
206	25316	96986
207	25439	96864
208	25565	96757
209	25684	96622
210	25798	96469
211	25911	96311
212	26027	96168
213	26156	96069
214	26278	95946
215	26388	95779
216	26503	95634
217	26620	95490
218	26737	95351
219	26869	95264
220	26979	95098
221	27102	94980
222	27466	95701
223	27577	95535
224	27696	95398
225	27820	95280
226	27932	95118
227	28047	94966
228	28168	94838
229	28285	94694
230	28399	94541
231	28513	94388
232	28638	94271
233	28753	94125
234	28874	93996
235	29018	93941
236	29139	93811
237	29255	93665
238	29370	93517
239	29484	93368
240	29593	93202
241	29709	93056
242	29825	92912
243	29945	92782
244	30057	92626
245	30179	92500
246	30303	92383
247	30412	92218
248	30546	92130
249	30661	91983
250	30783	91861
251	30907	91741
252	31031	91621
253	31148	91482
254	31267	91351
255	31378	91193
256	31490	91041
257	31615	90925
258	31731	90783
259	31851	90653
260	31964	90504
261	32074	90348
262	32193	90214
263	32318	90098
264	32435	89962
265	32552	89826
266	32662	89669
267	32769	89504
268	32887	89371
269	33014	89261
270	33128	89116
271	33242	88973
272	33356	88829
273	33464	88668
274	33585	88543
275	33705	88414
276	33822	88281
277	33941	88149
278	34079	88068
279	34246	88061
280	34399	88019
281	34576	88036
282	34748	88037
283	34934	88073
284	35106	88075
285	35240	87979
286	35367	87865
287	35542	87869
288	35679	87779
289	35817	87690
290	35950	87590
291	36104	87541
292	36222	87403
293	36338	87260
294	36459	87131
295	36579	86998
296	36696	86861
297	36823	86744
298	36958	86647
299	37089	86542
300	37462	86996
301	37584	86866
302	37712	86750
303	37868	86698
304	37996	86582
305	38124	86464
306	38278	86406
307	38408	86293
308	38545	86197
309	38712	86166
310	38839	86047
311	38970	85935
312	39095	85810
313	39246	85742
314	39370	85615
315	39492	85483
316	39612	85348
317	39724	85194
318	39843	85056
319	39965	84926
320	40081	84783
321	40203	84652
322	40321	84512
323	40435	84365
324	40561	84243
325	40688	84121
326	40810	83991
327	40942	83882
328	41058	83740
329	41194	83637
330	41323	83520
331	41437	83374
332	41551	83228
333	41671	83093
334	41791	82958
335	41906	82815
336	42035	82699
337	42147	82549
338	42268	82418
339	42388	82283
340	42498	82131
341	42611	81984
342	42723	81835
343	42846	81708
344	42959	81561
345	43075	81420
346	43191	81280
347	43319	81160
348	43443	81035
349	43542	80863
350	43666	80739
351	43779	80594
352	43904	80471
353	44013	80317
354	44140	80198
355	44282	80106
356	44396	79963
357	44514	79827
358	44632	79692
359	44764	79581
360	44882	79446
361	45004	79317
362	45120	79178
363	45237	79041
364	45360	78915
365	45484	78789
366	45608	78665
367	45729	78535
368	45852	78409
369	45964	78263
370	46080	78125
371	46207	78005
372	46317	77858
373	46432	77719
374	46545	77575
375	46660	77436
376	46786	77316
377	46903	77179
378	47010	77027
379	47342	77243
380	47461	77108
381	47594	76998
382	47711	76861
383	47825	76719
384	47940	76579
385	48064	76454
386	48182	76320
387	48306	76194
388	48429	76067
389	48541	75924
390	48668	75802
391	48794	75681
392	48909	75542
393	49030	75412
394	49161	75298
395	49272	75153
396	49384	75009
397	49499	74871
398	49621	74742
399	49743	74614
400	49857	74475
401	49972	74336
402	50118	74244
403	50245	74125
404	50360	73986
405	50472	73843
406	50589	73709
407	50699	73563
408	50811	73421
409	50925	73283
410	51045	73152
411	51169	73028
412	51290	72899
413	51421	72785
414	51536	72647
415	51654	72515
416	51765	72371
417	51874	72227
418	51994	72096
419	52119	71974
420	52235	71838
421	52348	71700
422	52463	71563
423	52583	71434
424	52675	71267
425	52791	71132
426	52902	70991
427	53019	70858
428	53130	70716
429	53262	70603
430	53380	70471
431	53500	70343
432	53630	70227
433	53744	70091
434	53859	69955
435	53966	69810
436	54089	69684
437	54212	69560
438	54337	69438
439	54444	69293
440	54567	69168
441	54679	69030
442	54805	68909
443	54937	68795
444	55065	68677
445	55189	68553
446	55320	68439
447	55446	68317
448	55577	68203
449	55690	68065
450	55812	67940
451	55951	67834
452	56103	67745
453	56233	67628
454	56347	67493
455	56483	67383
456	56610	67263
457	56729	67134
458	56849	67005
459	56983	66894
460	57284	66976
461	57440	66890
462	57575	66777
463	57697	66651
464	57809	66512
465	57935	66389
466	58049	66253
467	58182	66138
468	58292	65998
469	58412	65869
470	58535	65743
471	58652	65611
472	58760	65469
473	58886	65346
474	59023	65236
475	59140	65104
476	59262	64977
477	59376	64842
478	59501	64718
479	59633	64603
480	59756	64477
481	59875	64347
482	59994	64217
483	60113	64087
484	60235	63961
485	60353	63830
486	60475	63703
487	60592	63571
488	60704	63435
489	60829	63312
490	60959	63194
491	61092	63078
492	61203	62942
493	61329	62819
494	61452	62693
495	61582	62575
496	61693	62438
497	61820	62317
498	61937	62186
499	62058	62058
500	62170	61922
501	62283	61787
502	62399	61655
503	62534	61541
504	62653	61412
505	62773	61284
506	62896	61159
507	63035	61049
508	63176	60941
509	63289	60807
510	63408	60678
511	63541	60563
512	63666	60440
513	63781	60306
514	63899	60177
515	64026	60055
516	64151	59932
517	64284	59816
518	64409	59693
519	64524	59561
520	64659	59447
521	64788	59327
522	64910	59200
523	65027	59070
524	65153	58948
525	65270	58818
526	65390	58689
527	65518	58569
528	65642	58445
529	65752	58308
530	65877	58185
531	65999	58059
532	66122	57934
533	66241	57806
534	66370	57686
535	66491	57559
536	66610	57431
537	66753	57323
538	66877	57199
539	67221	57263
540	67348	57140
541	67473	57016
542	67611	56903
543	67734	56777
544	67863	56656
545	67982	56527
546	68100	56397
547	68229	56276
548	68350	56149
549	68470	56020
550	68576	55881
551	68693	55751
552	68808	55618
553	68928	55490
554	69047	55362
555	69158	55227
556	69273	55095
557	69400	54973
558	69526	54849
559	69652	54727
560	69774	54601
561	69889	54468
562	70017	54347
563	70138	54220
564	70254	54089
565	70366	53956
566	70488	53829
567	70595	53692
568	70712	53562
569	70832	53434
570	70962	53314
571	71070	53178
572	71185	53047
573	71305	52920
574	71436	52801
575	71559	52676
576	71680	52549
577	71807	52426
578	71917	52292
579	72037	52164
580	72157	52038
581	72279	51912
582	72412	51794
583	72531	51665
584	72688	51565
585	72876	51486
586	72995	51357
587	73113	51229
588	73246	51110
589	73367	50983
590	73493	50861
591	73607	50729
592	73739	50610
593	73872	50491
594	73994	50365
595	74121	50243
596	74263	50130
597	74384	50004
598	74494	49870
599	74615	49743
600	74723	49608
601	74829	49472
602	74967	49356
603	75108	49243
604	75241	49124
605	75371	49003
606	75496	48880
607	75622	48756
608	75746	48631
609	75867	48505
610	75989	48379
611	76105	48249
612	76219	48118
613	76331	47987
614	76448	47857
615	76556	47723
616	76664	47588
617	76788	47464
618	77093	47451
619	77245	47343
620	77363	47215
621	77485	47088
622	77605	46961
623	77726	46835
624	77848	46709
625	77970	46582
626	78102	46462
627	78228	46339
628	78337	46205
629	78460	46080
630	78582	45953
631	78697	45824
632	78816	45696
633	78936	45568
634	79054	45440
635	79166	45308
636	79286	45181
637	79403	45053
638	79516	44922
639	79627	44790
640	79749	44664
641	79878	44542
642	79999	44416
643	80129	44295
644	80255	44171
645	80376	44045
646	80493	43917
647	80608	43787
648	80714	43653
649	80826	43522
650	80951	43397
651	81072	43271
652	81204	43151
653	81324	43024
654	81451	42902
655	81572	42775
656	81688	42647
657	81806	42519
658	81919	42389
659	82030	42258
660	82163	42138
661	82289	42014
662	82406	41886
663	82524	41759
664	82636	41628
665	82753	41501
