iter	RMSE
0	0.1988473876
1	0.1944580992
2	0.1904694509
3	0.1870217514
4	0.1838906455
5	0.180999413
6	0.1784040422
7	0.1760592955
8	0.1738881372
9	0.1719222089
10	0.1702130806
11	0.1685828788
12	0.1671591764
13	0.16588898
14	0.1647140975
15	0.1636572793
16	0.162623743
17	0.1616908389
18	0.1609061289
19	0.1601456909
20	0.159450018
21	0.1588197966
22	0.1582569116
23	0.1577208638
24	0.157215138
25	0.1567477824
26	0.1563193283
27	0.1558846215
28	0.1554821674
29	0.1550620137
30	0.1547211909
31	0.1543290359
32	0.1539921433
33	0.1536654885
34	0.1534021768
35	0.15309694
36	0.1528014653
37	0.1525110397
38	0.152268464
39	0.1520036855
40	0.1517712596
41	0.1515711735
42	0.1513336527
43	0.151137443
44	0.1509512296
45	0.1507259647
46	0.150481524
47	0.1502475796
48	0.1500897569
49	0.1498770015
50	0.1496376854
51	0.1494217999
52	0.1492048878
53	0.1490681692
54	0.1489347695
55	0.148779957
56	0.1485917199
57	0.1484506212
58	0.148322414
59	0.1481969968
60	0.1480391424
61	0.1478700904
62	0.1477483803
63	0.1476415383
64	0.1475372411
65	0.1474271916
66	0.1473077752
67	0.1471956782
68	0.1470899757
69	0.1469540869
70	0.1468414589
71	0.1467476593
72	0.1466511035
73	0.1465461494
74	0.1464684617
75	0.1463345884
76	0.1462704625
77	0.1460914885
78	0.1459630838
79	0.1458080936
80	0.1456974633
81	0.1455578439
82	0.1454559395
83	0.1452924047
84	0.1451590443
85	0.1450311091
86	0.144939067
87	0.1448155398
88	0.1446694252
89	0.1445745761
90	0.1444436131
91	0.1443395509
92	0.1442086525
93	0.14408909
94	0.1439600775
95	0.143882897
96	0.1437630973
97	0.1436876489
98	0.1435512455
99	0.143449924
100	0.1433329504
101	0.1432008766
102	0.143071393
103	0.1429715287
104	0.142872342
105	0.1427796648
106	0.1426705316
107	0.1425521629
108	0.1424938899
109	0.1424317107
110	0.142344117
111	0.1422327357
112	0.1421199801
113	0.1420147209
114	0.141948835
115	0.1418730023
116	0.1417943872
117	0.1417591413
118	0.1416345403
119	0.1415499584
120	0.1414282661
121	0.1413353869
122	0.1412108006
123	0.1411344755
124	0.1410782449
125	0.1409861661
126	0.1409409241
127	0.1408594179
128	0.1407877285
129	0.1406681725
130	0.1405942213
131	0.1405010257
132	0.1404227994
133	0.1403408876
134	0.1402735761
135	0.1401440892
136	0.1400408729
137	0.1399755738
138	0.1398553933
139	0.1397735855
140	0.1397284416
141	0.1396311923
142	0.1395545434
143	0.1394860465
144	0.1394167367
145	0.1393168829
146	0.1392409354
147	0.1391295669
148	0.1390238227
149	0.1389304179
150	0.1388535057
151	0.1387548553
152	0.1386491848
153	0.138614609
154	0.1384948304
155	0.1384737424
156	0.1383479869
157	0.1382830739
158	0.1382512682
159	0.1381143052
160	0.1380339767
161	0.1379059385
162	0.1378266028
163	0.1377398642
164	0.1376518117
165	0.137581462
166	0.1374534297
167	0.1373923359
168	0.1373767751
169	0.1372886211
170	0.1372453392
171	0.1371669877
172	0.1370597149
173	0.1369608506
174	0.1368880022
175	0.1368209986
176	0.1367549746
177	0.1366178225
178	0.1365547667
179	0.1364476726
180	0.1364034535
181	0.1363485292
182	0.1362749219
183	0.1362275713
184	0.1361450886
185	0.1360531214
186	0.1359834745
187	0.135881302
188	0.1357496121
189	0.1356811177
190	0.1355584553
191	0.1354707289
192	0.1354603838
193	0.1353669009
194	0.1352760735
195	0.1351930745
196	0.135115934
197	0.13500071
198	0.1349408058
199	0.1348518286
200	0.1347750196
201	0.1346457006
202	0.1345353765
203	0.1344386849
204	0.1343199386
205	0.1342184693
206	0.1341079194
207	0.1340044574
208	0.1339204698
209	0.1338585899
210	0.1337846044
211	0.1337093569
212	0.1336140863
213	0.1336137281
214	0.133522443
215	0.1334318843
216	0.133347154
217	0.1332389874
218	0.1331623793
219	0.1330872568
220	0.1330095797
221	0.1330013956
222	0.1329592093
223	0.1328534053
224	0.132806933
225	0.1327467399
226	0.1326782127
227	0.1325777921
228	0.1324957995
229	0.1324881768
230	0.1323988042
231	0.1323525816
232	0.1322572578
233	0.1321822042
234	0.132093716
235	0.1320226846
236	0.1319482504
237	0.1318493466
238	0.1317417945
239	0.1316797267
240	0.1316300977
241	0.1315815745
242	0.131473549
243	0.1313904313
244	0.1313830198
245	0.131306776
246	0.1312037332
247	0.1311636414
248	0.1310876737
249	0.1309955771
250	0.130916944
251	0.1308546497
252	0.1307785554
253	0.1307208112
254	0.1306677492
255	0.130563421
256	0.1305018467
257	0.1304282104
258	0.1303719915
259	0.1303058792
260	0.130228943
261	0.1301416165
262	0.1300618354
263	0.1299770675
264	0.1299173548
265	0.1298202252
266	0.129741597
267	0.129685297
268	0.1295722825
