iter	Passed	Remaining
0	24	24903
1	45	22619
2	67	22494
3	87	21789
4	108	21623
5	126	21039
6	149	21189
7	169	21061
8	189	20915
9	208	20685
10	229	20594
11	252	20794
12	274	20855
13	293	20704
14	314	20662
15	335	20647
16	357	20688
17	378	20662
18	402	20784
19	422	20679
20	443	20659
21	465	20709
22	488	20763
23	510	20771
24	533	20811
25	553	20743
26	574	20694
27	594	20635
28	614	20569
29	640	20694
30	662	20700
31	681	20617
32	700	20536
33	720	20478
34	741	20431
35	760	20352
36	782	20354
37	804	20355
38	826	20362
39	847	20346
40	868	20319
41	887	20249
42	906	20174
43	927	20142
44	947	20113
45	966	20047
46	986	19996
47	1007	19989
48	1029	19983
49	1050	19957
50	1070	19913
51	1091	19906
52	1113	19890
53	1133	19857
54	1152	19798
55	1169	19721
56	1191	19709
57	1211	19672
58	1231	19637
59	1253	19641
60	1274	19619
61	1297	19624
62	1318	19606
63	1338	19568
64	1360	19574
65	1381	19546
66	1402	19533
67	1423	19515
68	1445	19507
69	1465	19465
70	1485	19438
71	1506	19417
72	1530	19430
73	1550	19398
74	1571	19378
75	1593	19368
76	1613	19335
77	1633	19303
78	1654	19284
79	1673	19246
80	1695	19240
81	1721	19272
82	1743	19266
83	1767	19274
84	1786	19228
85	1806	19198
86	1828	19185
87	1849	19169
88	1867	19120
89	1890	19110
90	1912	19099
91	1933	19082
92	1956	19079
93	1977	19060
94	1997	19028
95	2018	19004
96	2043	19023
97	2064	19002
98	2090	19027
99	2111	19001
100	2131	18975
101	2155	18974
102	2177	18966
103	2198	18942
104	2220	18928
105	2241	18901
106	2261	18873
107	2284	18866
108	2302	18823
109	2323	18796
110	2347	18802
111	2372	18808
112	2393	18787
113	2413	18759
114	2436	18748
115	2458	18733
116	2479	18710
117	2500	18693
118	2521	18666
119	2543	18649
120	2571	18678
121	2596	18685
122	2628	18743
123	2661	18800
124	2682	18779
125	2702	18749
126	2725	18734
127	2744	18700
128	2766	18680
129	2787	18654
130	2809	18637
131	2830	18615
132	2849	18574
133	2870	18552
134	2892	18531
135	2914	18514
136	2936	18499
137	2958	18477
138	2979	18456
139	3001	18434
140	3020	18403
141	3043	18388
