iter	Passed	Remaining
0	64	64355
1	115	57460
2	169	56330
3	234	58355
4	296	59011
5	358	59470
6	416	59015
7	479	59452
8	542	59727
9	602	59663
10	663	59676
11	718	59150
12	793	60228
13	853	60142
14	911	59881
15	979	60256
16	1033	59778
17	1091	59550
18	1146	59196
19	1201	58859
20	1256	58573
21	1313	58374
22	1371	58251
23	1424	57923
24	1482	57820
25	1537	57601
26	1595	57484
27	1651	57327
28	1715	57437
29	1770	57242
30	1838	57454
31	1904	57615
32	1974	57873
33	2037	57896
34	2096	57806
35	2169	58102
36	2230	58045
37	2282	57779
38	2342	57724
39	2407	57786
40	2474	57890
41	2527	57647
42	2588	57606
43	2653	57649
44	2719	57709
45	2791	57886
46	2850	57793
47	2916	57850
48	2974	57738
49	3095	58818
50	3201	59565
51	3280	59805
52	3355	59952
53	3545	62116
54	3628	62337
55	3721	62739
56	3888	64329
57	3964	64395
58	4086	65177
59	4154	65079
60	4240	65270
61	4394	66486
62	4478	66601
63	4559	66676
64	4627	66562
65	4708	66629
66	5137	71548
67	5252	71991
68	5351	72203
69	5422	72038
70	5524	72291
71	5603	72220
72	5678	72103
73	5773	72247
74	5869	72389
75	5947	72313
76	6017	72127
77	6091	72004
78	6169	71928
79	6245	71828
80	6321	71725
81	6397	71625
82	6469	71477
83	6556	71493
84	6630	71373
85	6697	71177
86	6770	71051
87	6851	71005
88	6924	70879
89	6996	70741
90	7068	70606
91	7134	70409
92	7202	70247
93	7275	70125
94	7346	69988
95	7425	69926
96	7497	69792
97	7560	69589
98	7631	69452
99	7701	69311
100	7779	69243
101	7855	69163
102	7928	69043
103	8002	68942
104	8067	68763
105	8143	68679
106	8208	68505
107	8270	68307
108	8335	68135
109	8395	67928
110	8468	67826
111	8531	67644
112	8649	67893
113	8719	67764
114	8794	67676
115	8878	67658
116	8932	67414
117	8984	67153
118	9040	66931
119	9101	66742
120	9162	66560
121	9236	66469
122	9298	66301
123	9353	66081
124	9416	65914
125	9475	65730
126	9536	65555
127	9607	65453
128	9674	65321
129	9758	65305
130	9859	65404
131	9927	65278
132	9988	65114
133	10051	64957
134	10112	64793
135	10182	64691
136	10247	64553
137	10309	64396
138	10365	64205
139	10427	64052
140	10492	63922
141	10554	63772
142	10611	63596
143	10677	63472
144	10739	63326
145	10801	63182
146	10870	63077
147	10934	62949
148	10997	62813
149	11054	62640
150	11115	62497
151	11171	62325
152	11238	62216
153	11297	62064
154	11358	61922
155	11416	61763
156	11477	61628
157	11545	61528
158	11609	61408
159	11669	61264
160	11795	61467
161	11871	61408
162	11977	61503
163	12117	61767
164	12183	61657
165	12256	61577
166	12335	61527
167	12404	61429
168	12470	61319
169	12543	61242
170	12660	61377
171	12882	62016
172	12977	62037
173	13054	61970
174	13124	61872
175	13223	61911
176	13330	61985
177	13398	61874
178	13474	61800
179	13534	61656
180	13602	61548
181	13675	61466
182	13758	61426
183	13831	61338
184	13888	61183
185	13956	61080
186	14039	61036
187	14105	60922
188	14171	60809
189	14240	60710
190	14309	60608
191	14382	60527
192	14454	60441
193	14531	60373
194	14741	60854
195	14918	61196
196	14984	61080
197	15045	60942
198	15108	60811
199	15167	60671
200	15238	60573
201	15313	60497
202	15377	60372
203	15443	60259
204	15512	60160
205	15585	60073
206	15647	59944
207	15713	59832
208	15780	59722
209	15841	59595
210	15904	59470
211	15966	59348
212	16034	59246
213	16097	59125
214	16168	59032
215	16235	58927
216	16303	58828
217	16367	58713
218	16428	58587
219	16490	58466
220	16590	58480
221	16662	58395
222	16739	58325
223	16840	58338
224	16918	58273
225	17005	58240
226	17088	58190
227	17156	58089
228	17212	57952
229	17277	57842
230	17445	58077
231	17517	57990
232	17590	57904
233	17661	57813
234	17742	57756
235	17824	57702
236	17892	57604
237	17985	57583
238	18092	57607
239	18196	57623
240	18286	57589
241	18380	57572
242	18470	57541
243	18551	57478
244	18651	57475
245	18793	57603
246	18898	57614
247	18969	57520
248	19035	57413
249	19186	57558
250	19266	57491
251	19343	57416
252	19421	57342
253	19495	57259
254	19579	57202
255	19663	57147
256	19765	57144
257	19857	57109
258	19934	57031
259	20018	56974
260	20093	56893
261	20176	56832
262	20257	56767
263	20333	56688
264	20417	56629
265	20495	56554
266	20577	56493
267	20657	56422
268	20742	56368
269	20825	56305
270	20900	56224
271	20969	56124
272	21038	56024
273	21114	55945
274	21193	55873
275	21268	55791
276	21349	55723
277	21469	55759
278	21590	55795
279	21725	55864
280	21857	55927
281	21933	55845
282	22004	55750
283	22092	55698
284	22167	55612
285	22241	55524
286	22313	55433
287	22385	55342
288	22459	55254
289	22526	55152
290	22605	55076
291	22692	55021
292	22770	54945
293	22857	54889
294	22933	54807
295	23008	54722
296	23080	54631
297	23174	54591
298	23253	54518
299	23334	54448
300	23431	54414
301	23505	54328
302	23600	54289
303	23695	54251
304	23825	54290
305	23988	54405
306	24600	55532
307	24877	55892
308	25102	56136
309	25243	56186
310	25386	56243
311	25547	56334
312	25639	56275
313	25766	56293
314	25864	56244
315	25976	56228
316	26063	56155
317	26169	56123
318	26346	56244
319	26456	56219
320	26602	56271
321	26732	56286
322	26860	56299
323	26953	56236
324	27084	56252
325	27188	56212
326	27293	56173
327	27378	56092
328	27479	56043
329	27622	56081
330	27716	56019
331	27818	55972
