iter	RMSE
0	0.197161359
1	0.192544253
2	0.1884120886
3	0.1846093228
4	0.1811392668
5	0.1780184431
6	0.1752627601
7	0.1726673321
8	0.1703654726
9	0.1682291845
10	0.1663918443
11	0.1647216392
12	0.163203764
13	0.1616627227
14	0.1604335018
15	0.1592652651
16	0.1582793634
17	0.1573222887
18	0.1564122882
19	0.1556471816
20	0.1548867015
21	0.1541143575
22	0.1534721781
23	0.1528096117
24	0.1521229142
25	0.151546441
26	0.1509225765
27	0.1504637058
28	0.1498550057
29	0.149326502
30	0.1489034752
31	0.1484929549
32	0.1480561923
33	0.147606628
34	0.1472364193
35	0.1468959786
36	0.1464997977
37	0.1461566894
38	0.1458067534
39	0.1454634984
40	0.1451923594
41	0.1449539503
42	0.1446819468
43	0.1444264619
44	0.144141407
45	0.1438559134
46	0.143647698
47	0.1434202656
48	0.1432160777
49	0.1430043437
50	0.1427755795
51	0.1425677563
52	0.1422679755
53	0.1420272315
54	0.141854235
55	0.1415473487
56	0.1412901696
57	0.1410789831
58	0.1408710641
59	0.1405960613
60	0.1403690798
61	0.140111934
62	0.1399877424
63	0.1398508889
64	0.1396806232
65	0.1395031877
66	0.1394334877
67	0.1392324537
68	0.1390806468
69	0.1389665419
70	0.1388087015
71	0.1386764988
72	0.1385086189
73	0.1383517173
74	0.1382142997
75	0.1380597609
76	0.1379353066
77	0.1377864038
78	0.1377067759
79	0.1375387226
80	0.1373929632
81	0.1372418122
82	0.1371027598
83	0.1369308831
84	0.1366915301
85	0.1364765368
86	0.1363906985
87	0.1361440945
88	0.1359694725
89	0.1358464503
90	0.1357310584
91	0.135528759
92	0.1353679582
93	0.1352159191
94	0.1350516892
95	0.1348754176
96	0.1347100664
97	0.134598576
98	0.1344911914
99	0.1343253959
100	0.134137316
101	0.1339754437
102	0.133902734
103	0.1336791153
104	0.1335176253
105	0.133433139
106	0.1333075336
107	0.1331483739
108	0.1329676601
109	0.1327554719
110	0.1326590192
111	0.1325034604
112	0.1323168659
113	0.1321450053
114	0.1320561202
115	0.1319698708
116	0.1317666504
117	0.1316504747
118	0.1315329286
119	0.1314011145
120	0.1311803913
121	0.1310557983
122	0.1309241545
123	0.1308020823
124	0.1306547264
125	0.1304576841
126	0.1303381406
127	0.1300937578
128	0.1299780824
129	0.1298566316
130	0.1297588491
131	0.1297109373
132	0.1296356724
133	0.1296179394
134	0.1296058169
