iter	Passed	Remaining
0	55	55475
1	81	40682
2	108	36092
3	137	34206
4	176	35082
5	200	33153
6	223	31653
7	248	30791
8	282	31087
9	317	31385
10	361	32487
11	406	33491
12	439	33366
13	462	32538
14	486	31977
15	511	31445
16	541	31319
17	599	32705
18	625	32308
19	651	31946
20	684	31902
21	708	31513
22	734	31181
23	762	31022
24	787	30721
25	815	30558
26	842	30372
27	868	30135
28	901	30193
29	940	30416
30	966	30198
31	992	30021
32	1026	30070
33	1055	29991
34	1096	30245
35	1135	30419
36	1163	30269
37	1189	30120
38	1218	30015
39	1243	29843
40	1277	29879
41	1311	29903
42	1342	29885
43	1378	29961
44	1406	29840
45	1439	29855
46	1466	29733
47	1509	29936
48	1540	29890
49	1564	29718
50	1594	29664
51	1621	29563
52	1650	29486
53	1686	29543
54	1715	29471
55	1746	29448
56	1778	29425
57	1806	29342
58	1845	29429
59	1873	29353
60	1907	29367
61	1938	29321
62	1969	29295
63	2005	29327
64	2043	29401
65	2070	29299
66	2100	29254
67	2132	29231
68	2168	29261
69	2200	29235
70	2233	29226
71	2262	29157
72	2289	29074
73	2314	28966
74	2342	28888
75	2366	28769
76	2393	28695
77	2425	28675
78	2451	28581
79	2481	28535
80	2522	28617
81	2570	28774
82	2600	28732
83	2630	28685
84	2672	28763
85	2714	28846
86	2748	28846
87	2783	28842
88	2814	28812
89	2854	28857
90	2892	28897
91	2942	29043
92	2979	29058
93	3023	29143
94	3064	29192
95	3108	29270
96	3488	32476
97	3548	32661
98	3628	33023
99	3686	33178
100	3726	33167
101	3757	33078
102	3796	33059
103	3833	33026
104	3878	33063
105	3908	32967
106	3935	32848
107	3964	32743
108	4001	32707
109	4068	32915
110	4098	32824
111	4127	32727
112	4152	32592
113	4176	32462
114	4199	32319
115	4226	32205
116	4257	32134
117	4290	32066
118	4338	32122
119	4372	32067
120	4399	31958
121	4429	31877
122	4459	31799
123	4498	31781
124	4530	31711
125	4576	31745
126	4610	31690
127	4648	31669
128	4682	31616
129	4712	31539
130	4738	31436
131	4765	31337
132	4809	31352
133	4846	31319
134	4877	31249
135	4912	31205
136	4942	31133
137	4993	31191
138	5033	31176
139	5077	31191
140	5109	31127
141	5148	31106
142	5181	31051
143	5295	31478
144	5424	31987
145	5471	32002
146	5497	31897
147	5528	31827
148	5554	31722
149	5586	31657
150	5614	31568
151	5646	31498
152	5677	31429
153	5748	31580
154	5946	32416
155	6018	32561
156	6069	32591
157	6133	32687
